id,golden,label,confidence,url
1,TRUE,Positive,0.6395,http://farm1.staticflickr.com/20/71235476_310366f395.jpg
2,TRUE,Positive,0.6458,http://farm4.staticflickr.com/3096/2584485524_836ef16edd.jpg
3,TRUE,Negative,0.842,http://farm3.staticflickr.com/2880/11733997835_f6634eb488.jpg
4,TRUE,Positive,0.7216,http://farm4.staticflickr.com/3022/2286937150_d93e3faa9b.jpg
5,TRUE,Positive,0.8801,http://farm1.staticflickr.com/163/357381033_d0176b7f37.jpg
6,TRUE,Highly negative,0.7589,http://farm6.staticflickr.com/5082/5220342939_9551b396ce.jpg
7,TRUE,Negative,0.7198,http://farm6.staticflickr.com/5254/5428519574_9c45a2a101.jpg
8,TRUE,Negative,0.7978,http://farm7.staticflickr.com/6015/5957116248_c35de8d06e.jpg
9,TRUE,Positive,0.6448,http://farm7.staticflickr.com/6022/5984542514_b03eb42afe.jpg
10,TRUE,Positive,0.9197,http://farm8.staticflickr.com/7284/8741489133_a6b202b99e.jpg
11,TRUE,Negative,0.7629,http://farm5.staticflickr.com/4102/4889703839_fd61de8a7a.jpg
12,TRUE,Negative,0.7591,http://farm3.staticflickr.com/2254/2404089966_3df66e54f6.jpg
13,TRUE,Positive,0.7192,http://farm6.staticflickr.com/5208/5334167439_6ced868815.jpg
14,TRUE,Highly negative,0.8413,http://farm6.staticflickr.com/5104/5614575315_1ed642b984.jpg
15,TRUE,Negative,0.7637,http://farm5.staticflickr.com/4042/4302080964_664b4110f8.jpg
16,TRUE,Positive,0.5604,http://farm8.staticflickr.com/7347/11246475533_2b63f6f9ee.jpg
17,TRUE,Positive,0.6831,http://farm3.staticflickr.com/2485/3809144425_5dc5e4c7d3.jpg
18,TRUE,Positive,0.881,http://farm8.staticflickr.com/7230/7002167496_88f82a9789.jpg
19,TRUE,Positive,0.763,http://farm4.staticflickr.com/3732/9496265700_37643409c4.jpg
20,TRUE,Positive,0.679,http://farm3.staticflickr.com/2813/13298983984_b1ca51046a.jpg
21,TRUE,Positive,0.6011,http://farm3.staticflickr.com/2454/3952860820_499a3b8ef3.jpg
22,TRUE,Positive,0.7194,http://farm5.staticflickr.com/4006/4699191535_5e92a12e06.jpg
23,TRUE,Positive,0.6811,http://farm5.staticflickr.com/4149/5005670557_7bf23ae76a.jpg
24,TRUE,Positive,0.8002,http://farm1.staticflickr.com/128/411345849_5316fd0a4e.jpg
25,TRUE,Highly positive,0.521,http://farm6.staticflickr.com/5027/5879783357_a953041e6b.jpg
26,TRUE,Positive,0.6382,http://farm4.staticflickr.com/3034/2634328128_cc6e5eb6a8.jpg
27,TRUE,Positive,0.6374,http://farm8.staticflickr.com/7155/6567091075_f6e3148a42.jpg
28,TRUE,Positive,0.5609,http://farm7.staticflickr.com/6007/5917802117_3f270fbbe6.jpg
29,TRUE,Highly negative,0.6823,http://farm2.staticflickr.com/1346/5141227803_dc88f098fe.jpg
30,TRUE,Highly positive,0.5211,http://farm3.staticflickr.com/2758/4111116342_cc93a8e243.jpg
31,TRUE,Highly negative,0.7607,http://farm5.staticflickr.com/4037/4375868814_eae3e5177a.jpg
32,TRUE,Highly positive,0.5212,http://farm1.staticflickr.com/49/157202754_bf1696894d.jpg
33,TRUE,Positive,0.7206,http://farm6.staticflickr.com/5516/9080155048_a549c09d12.jpg
34,TRUE,Positive,0.7601,http://farm4.staticflickr.com/3139/3004924293_c101edb44d.jpg
35,TRUE,Highly negative,0.8777,http://farm7.staticflickr.com/6074/6090674603_265ec4d43d.jpg
36,TRUE,Positive,0.6811,http://farm4.staticflickr.com/3687/11445715234_9bac7dfbae.jpg
37,TRUE,Positive,0.6773,http://farm4.staticflickr.com/3157/2645971210_a7928781a1.jpg
38,TRUE,Positive,0.5614,http://farm6.staticflickr.com/5484/10640400663_e811f54c5d.jpg
39,TRUE,Negative,0.6416,http://farm3.staticflickr.com/2585/4144135046_6cbeccc4c0.jpg
40,TRUE,Negative,0.6795,http://farm5.staticflickr.com/4048/4303516393_5dbc54760c.jpg
41,TRUE,Highly positive,0.7616,http://farm8.staticflickr.com/7104/7184272763_ca86b299a5.jpg
42,TRUE,Positive,0.7993,http://farm9.staticflickr.com/8518/8426038432_5994fd32cb.jpg
43,TRUE,Positive,0.7582,http://farm1.staticflickr.com/7/6578913_1eeb2a0e42.jpg
44,TRUE,Highly negative,0.6006,http://farm5.staticflickr.com/4054/4375918138_ca2795c7bf.jpg
45,TRUE,Negative,0.5619,http://farm3.staticflickr.com/2141/2214863007_b5e7cb1dd4.jpg
46,TRUE,Positive,0.6394,http://farm4.staticflickr.com/3213/2839227375_80fdf97fe5.jpg
47,TRUE,Highly negative,0.801,http://farm8.staticflickr.com/7167/6741704837_9cb5477203.jpg
48,TRUE,Positive,0.8003,http://farm4.staticflickr.com/3632/3616780046_05d100b9f4.jpg
49,TRUE,Highly positive,0.5615,http://farm3.staticflickr.com/2827/10806793814_73f19083a9.jpg
50,TRUE,Highly negative,0.4804,http://farm7.staticflickr.com/6197/6140612827_53836b8966.jpg
51,TRUE,Positive,0.5618,http://farm6.staticflickr.com/5466/8978705167_58cc98801e.jpg
52,TRUE,Highly negative,0.5642,http://farm9.staticflickr.com/8049/8112706341_afa0cf229e.jpg
53,TRUE,Positive,0.9195,http://farm6.staticflickr.com/5005/5334787592_5bbb39f724.jpg
54,TRUE,Negative,0.7606,http://farm6.staticflickr.com/5521/9252806555_9ec8fc47cb.jpg
55,TRUE,Positive,0.6857,http://farm4.staticflickr.com/3198/2808115966_cd3d28b12f.jpg
56,TRUE,Negative,0.6374,http://farm4.staticflickr.com/3177/2952973886_638ec8d080.jpg
57,TRUE,Positive,0.7607,http://farm1.staticflickr.com/54/145449724_996b864427.jpg
58,TRUE,Negative,0.5197,http://farm7.staticflickr.com/6107/6325280533_6489228759.jpg
59,TRUE,Negative,0.5999,http://farm2.staticflickr.com/1386/1350683214_af7d1ff907.jpg
60,TRUE,Positive,0.7196,http://farm3.staticflickr.com/2381/2130366863_c2a780990e.jpg
61,TRUE,Positive,0.8793,http://farm9.staticflickr.com/8281/7640092432_87969b08c5.jpg
62,TRUE,Negative,0.8802,http://farm8.staticflickr.com/7204/6772823326_a9f0862c6a.jpg
63,TRUE,Positive,0.638,http://farm6.staticflickr.com/5161/5346997123_3d07ac9fa5.jpg
64,TRUE,Positive,0.7202,http://farm3.staticflickr.com/2778/5789754626_9c83fa6ee5.jpg
65,TRUE,Positive,0.6409,http://farm8.staticflickr.com/7045/6935098684_670192d29d.jpg
66,TRUE,Positive,0.7589,http://farm4.staticflickr.com/3160/2634335486_7d23429eb9.jpg
67,TRUE,Highly negative,0.5195,http://farm8.staticflickr.com/7004/6645589143_5e648e189a.jpg
68,TRUE,Highly positive,0.5198,http://farm1.staticflickr.com/39/83156234_ff867143fd.jpg
69,TRUE,Highly negative,0.5613,http://farm7.staticflickr.com/6121/6207215090_a54b51fc9b.jpg
70,TRUE,Positive,0.8069,http://farm3.staticflickr.com/2849/10317796905_2f577717e6.jpg
71,TRUE,Highly positive,0.5611,http://farm1.staticflickr.com/134/322779625_49f54d988f.jpg
72,TRUE,Highly positive,0.5972,http://farm3.staticflickr.com/2062/2119620820_63ae5c25f2.jpg
73,TRUE,Negative,0.7588,http://farm2.staticflickr.com/1345/1317612821_c23f0eec87.jpg
74,TRUE,Highly negative,0.562,http://farm5.staticflickr.com/4068/4375157039_4be0b0c52d.jpg
75,TRUE,Negative,0.7978,http://farm4.staticflickr.com/3161/2672903440_581da63966.jpg
76,TRUE,Negative,0.5567,http://farm7.staticflickr.com/6051/6343105577_fa445ff044.jpg
77,TRUE,Positive,0.6379,http://farm4.staticflickr.com/3527/3259619205_c2a884f9ae.jpg
78,TRUE,Positive,0.5999,http://farm6.staticflickr.com/5487/9071799396_380dc0e1ac.jpg
79,TRUE,Highly positive,0.5225,http://farm4.staticflickr.com/3519/3798386701_ac42e7184b.jpg
80,TRUE,Positive,0.5198,http://farm4.staticflickr.com/3562/5708848146_260f68e800.jpg
81,TRUE,Negative,0.5211,http://farm3.staticflickr.com/2002/2272644822_4011048d45.jpg
82,TRUE,Negative,0.6837,http://farm1.staticflickr.com/6/7502123_9522bb4fb8.jpg
83,TRUE,Positive,0.9201,http://farm8.staticflickr.com/7202/6916392704_e61879b646.jpg
84,TRUE,Negative,0.6005,http://farm4.staticflickr.com/3554/3449659759_73f7ca76a3.jpg
85,TRUE,Highly negative,0.723,http://farm6.staticflickr.com/5254/5459442268_87192bc225.jpg
86,TRUE,Negative,0.5554,http://farm6.staticflickr.com/5288/5375954518_308f016557.jpg
87,TRUE,Positive,0.7219,http://farm4.staticflickr.com/3370/3181839758_ef98f55148.jpg
88,TRUE,Positive,0.6807,http://farm9.staticflickr.com/8212/8328786585_9824728fd0.jpg
89,TRUE,Positive,0.8013,http://farm1.staticflickr.com/41/120473692_7c5f79adc3.jpg
90,TRUE,Highly negative,0.6011,http://farm5.staticflickr.com/4127/5141181768_d321c07ee6.jpg
91,TRUE,Positive,0.7238,http://farm4.staticflickr.com/3675/9336957513_d4b65e4ba2.jpg
92,TRUE,Highly negative,0.6012,http://farm4.staticflickr.com/3061/3046336203_40b47c76d4.jpg
93,TRUE,Highly positive,0.4806,http://farm7.staticflickr.com/6167/6164831760_3466e9c7f9.jpg
94,TRUE,Highly negative,0.5616,http://farm3.staticflickr.com/2510/4117072645_b6c9007870.jpg
95,TRUE,Positive,0.6781,http://farm3.staticflickr.com/2266/4510308021_1830838f1c.jpg
96,TRUE,Positive,0.7208,http://farm3.staticflickr.com/2743/4431164313_1e2bbd1b10.jpg
97,TRUE,Highly negative,0.802,http://farm6.staticflickr.com/5113/7196512306_a2484975fc.jpg
98,TRUE,Positive,0.5979,http://farm3.staticflickr.com/2518/3802557388_cd12029e2b.jpg
99,TRUE,Negative,0.4807,http://farm3.staticflickr.com/2273/2228488243_f12ec55a28.jpg
100,TRUE,Negative,0.5215,http://farm1.staticflickr.com/76/176795220_72db378a9a.jpg
101,TRUE,Positive,0.6376,http://farm3.staticflickr.com/2033/1660184048_3f6db23524.jpg
102,TRUE,Positive,0.559,http://farm3.staticflickr.com/2600/5708287661_0316f2c9f4.jpg
103,TRUE,Positive,0.7987,http://farm5.staticflickr.com/4035/4267924056_6226db9632.jpg
104,TRUE,Positive,0.7207,http://farm9.staticflickr.com/8141/7116670775_8d07a3d9e4.jpg
105,TRUE,Positive,0.6805,http://farm1.staticflickr.com/150/370635839_134364d566.jpg
106,TRUE,Highly negative,0.5988,http://farm9.staticflickr.com/8045/8133978836_7f50da9b05.jpg
107,TRUE,Highly negative,0.6415,http://farm3.staticflickr.com/2053/2790175874_6b482b1553.jpg
108,TRUE,Positive,0.7584,http://farm1.staticflickr.com/111/364986953_c21eff95f5.jpg
109,TRUE,Highly negative,0.6028,http://farm4.staticflickr.com/3017/3108414143_7d5d2df0f9.jpg
110,TRUE,Positive,0.5175,http://farm4.staticflickr.com/3082/3133138117_c8907db652.jpg
111,TRUE,Highly negative,0.8003,http://farm6.staticflickr.com/5180/5522215253_afe682dfde.jpg
112,TRUE,Positive,0.5569,http://farm6.staticflickr.com/5142/5603892220_d704f6ede6.jpg
113,TRUE,Positive,0.8015,http://farm4.staticflickr.com/3622/3519567139_9ae3071c44.jpg
114,TRUE,Positive,0.6758,http://farm4.staticflickr.com/3464/4565528585_a0860dc5ae.jpg
115,TRUE,Highly negative,0.5619,http://farm5.staticflickr.com/4061/4375914756_56046282c8.jpg
116,TRUE,Positive,0.7602,http://farm3.staticflickr.com/2502/4102349572_d5d3d44e53.jpg
117,TRUE,Negative,0.7611,http://farm2.staticflickr.com/1390/784562445_ae0a875bfb.jpg
118,TRUE,Highly negative,0.6,http://farm1.staticflickr.com/55/186194188_8014829650.jpg
119,TRUE,Positive,0.6428,http://farm3.staticflickr.com/2229/2286843188_4df0efc133.jpg
120,TRUE,Positive,0.5231,http://farm1.staticflickr.com/183/446720133_4dd97fdb5e.jpg
121,TRUE,Positive,0.7211,http://farm3.staticflickr.com/2245/2103921872_d03a183fb7.jpg
122,TRUE,Highly positive,0.6804,http://farm3.staticflickr.com/2531/3799198494_8b21c17917.jpg
123,TRUE,Negative,0.5597,http://farm3.staticflickr.com/2391/2444138998_4e08e4c789.jpg
124,TRUE,Negative,0.6789,http://farm1.staticflickr.com/239/519914693_82203f3f0e.jpg
125,TRUE,Positive,0.7188,http://farm2.staticflickr.com/1403/960428369_b455f5a894.jpg
126,TRUE,Highly positive,0.519,http://farm1.staticflickr.com/117/262709723_c6f482bbd6.jpg
127,TRUE,Negative,0.5598,http://farm8.staticflickr.com/7421/9756696483_cdd117da34.jpg
128,TRUE,Highly positive,0.5158,http://farm1.staticflickr.com/14/89799023_1151037bb6.jpg
129,TRUE,Negative,0.6812,http://farm9.staticflickr.com/8108/8655230727_61ee7906e3.jpg
130,TRUE,Positive,0.6788,http://farm3.staticflickr.com/2835/10119017503_8540e43a20.jpg
131,TRUE,Positive,0.6005,http://farm4.staticflickr.com/3107/2840079876_247b09e304.jpg
132,TRUE,Negative,0.8001,http://farm5.staticflickr.com/4051/4419662652_74fb5a62e5.jpg
133,TRUE,Positive,0.7218,http://farm9.staticflickr.com/8148/7164299893_96ec703ab3.jpg
134,TRUE,Positive,0.6411,http://farm4.staticflickr.com/3023/2634329026_66ed646603.jpg
135,TRUE,Positive,0.7617,http://farm4.staticflickr.com/3155/2345968015_d6996c42db.jpg
136,TRUE,Highly negative,0.5232,http://farm4.staticflickr.com/3222/2511208533_e86cecab9b.jpg
137,TRUE,Negative,0.641,http://farm6.staticflickr.com/5258/5436786272_6f1866de52.jpg
138,TRUE,Negative,0.7193,http://farm5.staticflickr.com/4041/4313668812_3ceb758469.jpg
139,TRUE,Positive,0.7657,http://farm3.staticflickr.com/2465/3902169863_849a25a04d.jpg
140,TRUE,Positive,0.5213,http://farm9.staticflickr.com/8059/8276636443_497b4dac0c.jpg
141,TRUE,Negative,0.7997,http://farm4.staticflickr.com/3271/3111961411_748e966d7e.jpg
142,TRUE,Negative,0.8417,http://farm1.staticflickr.com/45/156995330_62ed9d5dbe.jpg
143,TRUE,Highly positive,0.6021,http://farm8.staticflickr.com/7209/6901074791_75ee104299.jpg
144,TRUE,Positive,0.7597,http://farm4.staticflickr.com/3630/3497948980_a6665094b7.jpg
145,TRUE,Negative,0.521,http://farm8.staticflickr.com/7031/6645587483_cdbf5703b9.jpg
146,TRUE,Positive,0.7627,http://farm4.staticflickr.com/3182/2682747254_c7f2dc5a47.jpg
147,TRUE,Positive,0.682,http://farm1.staticflickr.com/216/517808621_9d67b7510d.jpg
148,TRUE,Highly positive,0.6021,http://farm3.staticflickr.com/2690/5857237656_bc602e6346.jpg
149,TRUE,Positive,0.6809,http://farm4.staticflickr.com/3164/2675572437_1a843da5ef.jpg
150,TRUE,Positive,0.5972,http://farm9.staticflickr.com/8069/8170944379_247f4fc4d5.jpg
151,TRUE,Negative,0.6359,http://farm2.staticflickr.com/1039/1414671231_b41016f49e.jpg
152,TRUE,Positive,0.5205,http://farm6.staticflickr.com/5271/5881985651_dde3864ff0.jpg
